"CLIENTE_ID","NOMBRE","APELLIDO","EMAIL","GENERO","FECHA_REGISTRO","CIUDAD","PAIS"
1,"kevin","ortiz","kevin@email.com","masculino",10/01/24,"Guatemala","Guatemala"
2,"Juan","Pérez","juan@empresa.com","Masculino",10/01/24,"Guatemala","Guatemala"
3,"Carlos","Ramirez","carlos@logisticaexpress.com","Masculino",10/02/24,"Escuintla","Guatemala"
4,"Ana","Morales","ana@transportesmorales.com","Femenino",18/02/24,"Mixco","Guatemala"
5,"Luis","Castillo","luis@cargacentral.com","Masculino",05/03/24,"Villa Nueva","Guatemala"
6,"Sofia","Hernandez","sofia@enviosgt.com","Femenino",12/03/24,"Guatemala","Guatemala"
7,"Pedro","Mendez","pedro@rutasdelnorte.com","Masculino",01/04/24,"Coban","Guatemala"
8,"Lucia","Gomez","lucia@transportesoriente.com","Femenino",15/04/24,"Zacapa","Guatemala"
9,"Diego","Lopez","diego@cargapuerto.com","Masculino",02/05/24,"Puerto Quetzal","Guatemala"
10,"Fernanda","Perez","fernanda@logisticagt.com","Femenino",20/05/24,"Guatemala","Guatemala"
